id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3507,HD 80913 b,200,23.50131 Jupiters,7.49,2022
3508,HD 81040 b,112,6.83498 Jupiters,7.72,2005
3509,HD 81688 b,280,2.7 Jupiters,5.39755,2007
3510,HD 81817 b,878,26.53603 Jupiters,4.26489,2020
3511,HD 81817 c,878,22.59251 Jupiters,4.26489,2022
3512,HD 82886 b,414,2.33 Jupiters,7.62,2011
3513,HD 82943 b,90,1.681 Jupiters,6.54993,2003
3514,HD 82943 c,90,1.959 Jupiters,6.54993,2003
3515,HD 8326 b,100,0.20955 Jupiters,8.76,2019
3516,HD 83443 b,133,0.402 Jupiters,8.23,2002
3517,HD 83443 c,133,1.5 Jupiters,8.23,2022
3518,HD 8535 b,181,0.68 Jupiters,7.7,2010
3519,HD 85390 b,109,31.46517 Earths,8.54,2009
3520,HD 85512 b,37,3.6 Earths,7.67,2011
3521,HD 8574 b,146,2.03 Jupiters,7.12,2002
3522,HD 86065 b,132,8.81576 Jupiters,9.36,2022
3523,HD 86081 b,339,1.48 Jupiters,8.73,2006
3524,HD 86226 b,149,0.45 Jupiters,7.93,2009
3525,HD 7924 c,55,7.86 Earths,7.17896,2015
3526,HD 7924 d,55,6.44 Earths,7.17896,2015
3527,HD 79498 b,160,1.34 Jupiters,8.05,2011
3528,HD 80606 b,217,4.38 Jupiters,9.06,2001
3529,HD 80653 b,358,5.6 Earths,9.452,2020
3530,HD 80869 b,279,5.65664 Jupiters,8.48,2021
3531,HD 80883 b,113,5.47697 Jupiters,8.6,2022
3532,HD 80913 b,200,23.50131 Jupiters,7.49,2022
3533,HD 81040 b,112,6.83498 Jupiters,7.72,2005
3534,HD 81688 b,280,2.7 Jupiters,5.39755,2007
3535,HD 81817 b,878,26.53603 Jupiters,4.26489,2020
3536,HD 81817 c,878,22.59251 Jupiters,4.26489,2022
3537,HD 82886 b,414,2.33 Jupiters,7.62,2011
